사업장명,도로명전체,인허가일자,영업상태명,위생업태명,GRS80_X,GRS80_Y,x_wgs84,y_wgs84
옛날장터치킨,"경기도 광명시 가림일로 55 (하안동,현대아파트상가 1층103호)",19991102,운영중,통닭(치킨),187927.250766,540901.113049,126.863528973122,37.46745776150243
교촌치킨(덕풍1호점),"경기도 하남시 하남대로 859, 1층 (덕풍동)",20031002,운영중,통닭(치킨),217911.509149,549348.107648,127.20267802286895,37.54347049698473
호식이 두마리 치킨,경기도 하남시 역말로 27 (덕풍동),20111025,운영중,통닭(치킨),217737.315891,548381.464853,127.2006836035641,37.53476446424345
치킨처럼 신장점,"경기도 하남시 대청로 50-1, 1층 5,6호 (신장동)",20111121,운영중,통닭(치킨),219245.255628,548911.248282,127.21775851230089,37.53950755572201
하림그룹 디디치킨 풍산점,"경기도 하남시 역말로 46-1, 1층 (덕풍동)",20080730,운영중,통닭(치킨),217853.583828,548520.469051,127.20200245338548,37.53601464248445
오븐에 빠진닭,"경기도 하남시 조정대로 150 (덕풍동,아파트형공장 ITECO 1층 R109호)",20110316,운영중,통닭(치킨),217207.011074,550463.738644,127.19473245237056,37.55353567299602
밥한끼,"경기도 하남시 하남대로801번길 30, 1층 (신장동)",20080724,운영중,통닭(치킨),218340.688948,548924.559565,127.20752380881447,37.53964591963075
베리치킨,"경기도 하남시 덕풍동로 111-10 (덕풍동,트윈렉스빌딩 117호   1층)",20111004,운영중,통닭(치킨),0.0,0.0,124.87027781269322,32.57392676984479
또와 분식,"경기도 하남시 역말로 70, 1층 (덕풍동)",20140610,운영중,통닭(치킨),217967.691013,548704.133913,127.20329799182838,37.53766723791251
신서방 장수왕족발,"경기도 하남시 대청로 50-1, 1층 103호 (신장동, 백송한신상가)",20140714,운영중,통닭(치킨),219245.255628,548911.248282,127.21775851230089,37.53950755572201
신전 떡볶이(하남점),"경기도 하남시 역말로 47-1, 1층 (덕풍동)",19960809,운영중,통닭(치킨),217844.690021,548542.404422,127.20190235877683,37.536212451163
